epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.23047,2.60444,5.15266,2.34885,0.00973,0.08,0.02441,0.00505,2.78379,5.11161,2.79751,5e-05,5e-05,5e-05
2,7.85983,2.61938,4.88657,2.33611,0.03213,0.17333,0.02509,0.00753,2.64363,4.85532,2.5215,0.000108911,0.000108911,0.000108911
3,11.2497,2.3957,3.94529,2.06567,0.94161,0.06667,0.08504,0.03806,2.58133,4.64786,2.31823,0.000166634,0.000166634,0.000166634
4,13.8182,2.23534,3.51291,1.94674,0.71949,0.1,0.09585,0.05509,2.41624,4.96851,2.10665,0.000223169,0.000223169,0.000223169
5,16.4961,2.2387,3.2258,1.99213,0.48835,0.09167,0.06939,0.02137,2.43333,6.21927,2.19738,0.000278516,0.000278516,0.000278516
6,18.9637,2.04588,3.3448,1.99521,0.03983,0.115,0.04257,0.01751,2.39084,4.80656,2.24021,0.000332675,0.000332675,0.000332675
7,21.5455,2.10029,3.01135,1.88109,0.10434,0.1,0.10915,0.01872,2.57842,4.82822,2.39075,0.000385646,0.000385646,0.000385646
8,24.6448,2.02919,2.77617,1.84691,0.32298,0.10833,0.0584,0.01672,2.43304,4.31265,2.20229,0.000437429,0.000437429,0.000437429
9,27.1098,2.00871,2.71028,1.82652,0.02893,0.075,0.04064,0.01855,2.38572,4.084,2.29171,0.000488024,0.000488024,0.000488024
10,29.5153,2.05096,2.65061,1.84091,0.0268,0.11667,0.0274,0.00891,2.56536,4.42933,2.49157,0.000537431,0.000537431,0.000537431
11,31.8454,2.08433,2.69157,1.81274,0.71013,0.06667,0.06234,0.0215,2.71141,4.77067,2.55578,0.00058565,0.00058565,0.00058565
12,34.4742,2.04112,2.57751,1.83721,0.05561,0.06667,0.03775,0.01291,2.54323,4.26972,2.56946,0.000632681,0.000632681,0.000632681
13,37.2469,2.02818,2.40455,1.79675,0.06291,0.09167,0.0403,0.01963,2.61546,3.77381,2.59661,0.000678524,0.000678524,0.000678524
14,39.6902,1.95595,2.46766,1.80731,0.96856,0.1,0.14292,0.04426,2.57252,3.68086,2.50846,0.000723179,0.000723179,0.000723179
15,41.9328,1.97288,2.46756,1.83908,0.93839,0.1,0.12415,0.05393,2.57489,3.32633,2.53164,0.000766646,0.000766646,0.000766646
16,44.2983,2.00064,2.30263,1.75515,0.41074,0.13333,0.13275,0.05735,2.47539,3.05744,2.35133,0.000808925,0.000808925,0.000808925
17,46.6405,1.9243,2.18185,1.7071,0.44998,0.1397,0.11821,0.04847,2.43812,3.0448,2.19667,0.0008416,0.0008416,0.0008416
